time stamp,pH cha. 1,pH cha. 2,pH cha. 3,pH cha. 4,pH cha. 5,pH cha. 6,SP1 target pH,SP2 target pH,SP3 target pH,SP4 target pH,SP5 target pH,SP1 dosing,SP2 dosing,SP3 dosing,SP4 dosing,SP5 dosing
04-May-2021 15:25:09,,,,,,,5.600083917,5.600083917,5.600083917,5.600083917,5.600083917,3,3,3,3,3
04-May-2021 15:25:18,5.56,5.64,5.56,5.73,5.53,,5.600210111,5.600210111,5.600210111,5.600210111,5.600210111,1,0,1,0,1
04-May-2021 15:25:34,5.56,5.64,5.56,5.73,5.53,,5.600434361,5.600434361,5.600434361,5.600434361,5.600434361,2,0,2,0,2
04-May-2021 15:25:49,5.56,5.64,5.56,5.73,5.53,,5.600643764,5.600643764,5.600643764,5.600643764,5.600643764,2,0,2,0,2
04-May-2021 15:26:05,5.56,5.64,5.56,5.74,5.53,,5.600853486,5.600853486,5.600853486,5.600853486,5.600853486,2,0,2,0,2
04-May-2021 15:26:20,5.56,5.64,5.56,5.74,5.53,,5.601063028,5.601063028,5.601063028,5.601063028,5.601063028,1,0,1,0,1
04-May-2021 15:26:36,5.56,5.63,5.56,5.74,5.53,,5.601286792,5.601286792,5.601286792,5.601286792,5.601286792,2,0,2,0,2
04-May-2021 15:26:51,5.56,5.63,5.56,5.77,5.53,,5.601496681,5.601496681,5.601496681,5.601496681,5.601496681,2,0,2,0,2
04-May-2021 15:27:06,5.56,5.63,5.56,5.76,5.53,,5.601706361,5.601706361,5.601706361,5.601706361,5.601706361,2,0,2,0,2
04-May-2021 15:27:18,5.56,,,,,,5.601874306,5.601874306,5.601874306,5.601874306,5.601874306,2,3,3,3,3
04-May-2021 15:27:33,5.55,5.63,5.56,,,,5.602083917,5.602083917,5.602083917,5.602083917,5.602083917,1,0,1,3,3
04-May-2021 15:27:51,5.55,5.63,5.56,5.76,5.53,,5.602335695,5.602335695,5.602335695,5.602335695,5.602335695,2,0,2,0,1
04-May-2021 15:28:05,5.55,5.63,5.56,5.76,5.53,,5.602531667,5.602531667,5.602531667,5.602531667,5.602531667,2,0,2,0,2
04-May-2021 15:28:20,5.55,5.63,5.56,5.77,5.53,,5.602741195,5.602741195,5.602741195,5.602741195,5.602741195,2,0,2,0,2
04-May-2021 15:28:36,5.55,5.62,5.56,5.77,5.53,,5.602950736,5.602950736,5.602950736,5.602950736,5.602950736,1,0,1,0,2
04-May-2021 15:28:51,5.55,5.62,5.56,5.78,5.53,,5.603160653,5.603160653,5.603160653,5.603160653,5.603160653,2,0,2,0,2
04-May-2021 15:29:06,5.55,5.62,5.56,5.77,5.53,,5.603370153,5.603370153,5.603370153,5.603370153,5.603370153,2,0,2,0,1
04-May-2021 15:29:20,5.55,5.62,5.56,5.79,5.53,,5.603566042,5.603566042,5.603566042,5.603566042,5.603566042,2,0,2,0,2
04-May-2021 15:29:35,5.55,5.62,5.55,5.78,5.53,,5.603775556,5.603775556,5.603775556,5.603775556,5.603775556,2,0,2,0,2
04-May-2021 15:29:50,5.55,5.62,5.55,5.79,5.53,,5.603985278,5.603985278,5.603985278,5.603985278,5.603985278,1,0,1,0,2
04-May-2021 15:30:05,5.55,5.62,5.55,5.79,5.53,,5.604195389,5.604195389,5.604195389,5.604195389,5.604195389,2,0,2,0,2
04-May-2021 15:30:20,5.55,5.61,5.55,5.83,5.53,,5.60440507,5.60440507,5.60440507,5.60440507,5.60440507,2,0,2,0,1
04-May-2021 15:30:34,5.55,5.61,5.55,5.79,5.53,,5.604601125,5.604601125,5.604601125,5.604601125,5.604601125,2,0,2,0,2
04-May-2021 15:30:49,5.55,5.61,5.55,5.8,5.53,,5.604810764,5.604810764,5.604810764,5.604810764,5.604810764,2,0,2,0,2
04-May-2021 15:31:05,5.55,5.61,5.55,5.79,5.53,,5.605020195,5.605020195,5.605020195,5.605020195,5.605020195,1,0,1,0,2
04-May-2021 15:31:20,5.55,5.61,5.55,5.8,5.53,,5.605230333,5.605230333,5.605230333,5.605230333,5.605230333,2,0,2,0,2
04-May-2021 15:31:35,5.55,5.61,5.55,5.8,5.53,,5.605439875,5.605439875,5.605439875,5.605439875,5.605439875,2,0,2,0,1
04-May-2021 15:31:49,5.55,5.61,5.55,5.8,5.53,,5.605635708,5.605635708,5.605635708,5.605635708,5.605635708,2,0,2,0,2
04-May-2021 15:32:04,5.54,5.61,5.55,5.8,5.53,,5.60584532,5.60584532,5.60584532,5.60584532,5.60584532,2,0,2,0,2
04-May-2021 15:32:19,5.54,5.6,5.55,5.81,5.53,,5.606054778,5.606054778,5.606054778,5.606054778,5.606054778,1,1,1,0,2
04-May-2021 15:32:35,5.55,5.6,5.56,5.81,5.53,,5.606279014,5.606279014,5.606279014,5.606279014,5.606279014,2,2,2,0,1
04-May-2021 15:32:49,5.55,5.6,5.58,5.82,5.53,,5.606475042,5.606475042,5.606475042,5.606475042,5.606475042,2,2,2,0,2
04-May-2021 15:33:04,5.54,5.6,5.58,5.82,5.53,,5.606684681,5.606684681,5.606684681,5.606684681,5.606684681,2,2,2,0,2
04-May-2021 15:33:19,5.54,5.6,5.59,5.82,5.53,,5.606894542,5.606894542,5.606894542,5.606894542,5.606894542,1,1,1,0,2
04-May-2021 15:33:36,5.54,5.6,5.6,5.82,5.53,,5.607118583,5.607118583,5.607118583,5.607118583,5.607118583,2,2,2,0,1
04-May-2021 15:33:50,5.54,5.6,5.61,5.82,5.53,,5.6073145,5.6073145,5.6073145,5.6073145,5.6073145,2,2,0,0,2
04-May-2021 15:34:05,5.54,5.59,5.62,5.82,5.52,,5.607524028,5.607524028,5.607524028,5.607524028,5.607524028,2,2,0,0,2
04-May-2021 15:34:20,5.54,5.59,5.62,5.83,5.52,,5.607733597,5.607733597,5.607733597,5.607733597,5.607733597,1,1,0,0,2
04-May-2021 15:34:35,5.54,5.59,5.62,5.83,5.52,,5.607943847,5.607943847,5.607943847,5.607943847,5.607943847,2,2,0,0,2
04-May-2021 15:34:50,5.54,5.59,5.62,5.83,5.52,,5.608153167,5.608153167,5.608153167,5.608153167,5.608153167,2,2,0,0,1
04-May-2021 15:35:04,5.54,5.59,5.62,5.83,5.52,,5.60834925,5.60834925,5.60834925,5.60834925,5.60834925,2,2,0,0,2
04-May-2021 15:35:19,5.54,5.59,5.62,5.83,5.52,,5.608558778,5.608558778,5.608558778,5.608558778,5.608558778,2,2,0,0,2
04-May-2021 15:35:34,5.54,5.58,5.62,5.83,5.52,,5.608768722,5.608768722,5.608768722,5.608768722,5.608768722,1,1,0,0,2
04-May-2021 15:35:50,5.54,5.58,5.63,5.84,5.52,,5.608978639,5.608978639,5.608978639,5.608978639,5.608978639,2,2,0,0,2
04-May-2021 15:36:05,5.54,5.58,5.63,5.84,5.52,,5.609188181,5.609188181,5.609188181,5.609188181,5.609188181,2,2,0,0,1
04-May-2021 15:36:19,5.54,5.58,5.63,5.85,5.52,,5.609384264,5.609384264,5.609384264,5.609384264,5.609384264,2,2,0,0,2
04-May-2021 15:36:34,5.54,5.58,5.64,5.84,5.52,,5.609593986,5.609593986,5.609593986,5.609593986,5.609593986,2,2,0,0,2
04-May-2021 15:36:52,5.54,5.58,5.64,5.85,5.52,,5.609845333,5.609845333,5.609845333,5.609845333,5.609845333,1,1,0,0,2
04-May-2021 15:37:04,5.54,5.57,5.64,5.85,5.52,,5.610013667,5.610013667,5.610013667,5.610013667,5.610013667,2,2,0,0,2
04-May-2021 15:37:19,5.54,5.57,5.65,5.86,5.52,,5.610223195,5.610223195,5.610223195,5.610223195,5.610223195,2,2,0,0,1
04-May-2021 15:37:33,5.54,5.57,5.65,5.86,5.52,,5.610419139,5.610419139,5.610419139,5.610419139,5.610419139,2,2,0,0,2
04-May-2021 15:37:48,5.54,5.57,5.65,5.86,5.55,,5.610628861,5.610628861,5.610628861,5.610628861,5.610628861,2,2,0,0,2
04-May-2021 15:38:03,5.53,5.57,5.66,5.86,5.56,,5.610838639,5.610838639,5.610838639,5.610838639,5.610838639,1,1,0,0,2
04-May-2021 15:38:19,5.53,5.57,5.66,5.86,5.56,,5.611048542,5.611048542,5.611048542,5.611048542,5.611048542,2,2,0,0,2
